id,ig_username,timestamp,type,text
31,danielle_emily_ruth,2025-05-18T10:25:53.450498+00:00,user,"It is Matthias track in Olinda
Our favorite spot"
32,danielle_emily_ruth,2025-05-18T10:25:53.450498+00:00,ai,"Ah, yes, Matthias track! Your favorite spot - that's fantastic!"
33,danielle_emily_ruth,2025-05-19T04:03:00.203672+00:00,user,"I love it 
Sparkle has a great time there
We walk, meditate and have lunch together 
It’s our special time"
34,danielle_emily_ruth,2025-05-19T04:03:00.203672+00:00,ai,"Ah sounds amazing! Walking, meditating, lunch, love that its special time for you and Sparkle. How old is your pup? ❤️"
35,danielle_emily_ruth,2025-05-19T04:34:51.632401+00:00,user,14 🫶
36,danielle_emily_ruth,2025-05-19T04:34:51.632401+00:00,ai,Fourteen! Great work! ❤️
37,danielle_emily_ruth,2025-05-19T07:46:20.272330+00:00,user,"Yes she’s been very well cared for 
Best of everything 
And a knee replacement a few years ago ha!"
38,danielle_emily_ruth,2025-05-19T07:46:20.272330+00:00,ai,"Oh wow, a knee replacement! Good to hear she's been so well cared for."
39,the.health.formula,2025-05-18T12:28:44.217063+00:00,user,Location to be confirmed. Somewhere in bayside. I’m just a guest speaker but should be cool 😎
40,the.health.formula,2025-05-18T12:28:44.217063+00:00,ai,"Okay, got it. Location in bayside to be confirmed. Sounds cool that you're a guest speaker! 😎"
41,forster.alice,2025-05-18T22:32:59.104640+00:00,user,Track my cala Cals*
42,forster.alice,2025-05-18T22:32:59.104640+00:00,ai,"Sure, I can help track your calories! Send me a photo of your food along with a quick description of what's in it, and I'll analyze the calories and macros for you."
43,forster.alice,2025-05-18T22:33:00.125098+00:00,user,Track my cala Cals*
44,forster.alice,2025-05-18T22:33:00.125098+00:00,ai,[Action implicitly handled by detect_and_handle_action or no AI response needed]
45,user_916356437,2025-05-19T05:11:16.313135+00:00,user,"Hye bro 
Thank you so much 😄
You looking great as well 
I hope your coaching is going great 
I wish you all the best 👍🏾"
46,user_916356437,2025-05-19T05:11:16.313135+00:00,ai,"Hey man! Thanks so much, appreciate that! Yeah, coaching is good, staying busy. Hope things are going great on your end too! All the best!"
47,wholebeginningswellness,2025-05-19T07:24:27.979740+00:00,ai,"[Commented on story] (story was about: The main story is a reshared post of a dish of roasted carrots, arranged on a white platter with edible flowers and herbs as garnish. The story is originally from brassica_catering. ): Looks unreal!  Beauty!"
