schedule_id,review_id,user_ig_username,user_subscriber_id,incoming_message_text,incoming_message_timestamp,response_text,calculated_delay_minutes,scheduled_send_time,status,created_at,sent_at,error_message,original_response_time,user_response_time,user_notes,manual_context,processed_at
1,1263,black_monkey_go_green,263338143,I am born vegan...and will die vegan... i hope we support each other for real...I liked 3 of your new post as a welcome🦍,2025-06-25T09:56:15.098126,"Hey thanks for reaching out and for the support! That's awesome being born vegan, keen to support each other for sure! How long have you been into the fitness side of things?",28,2025-06-25T10:57:14.698688,sent,2025-06-25 00:29:14,2025-06-25T12:54:01.639499,,2025-06-25T10:29:14.699693,2025-06-25T09:56:15.098126,,,
2,1267,flowerlea44,1013503726,"I’ve always loved animals. Even as a little girl, I would never drink milk, and always struggled eating meat. I never liked eggs. I’ve been vegetarian most of my adult life. Once I found out about dairy farming, that was it for me. I love being vegan. 
That’s amazing you’ve been vegetarian since birth! I can’t imagine ever putting animals products into my body again.",2025-06-25T10:10:18.333514,"Yeah I totally get that hey, sounds like the dairy farming thing was a big moment. Was the transition from vegetarian to fully vegan a big one?",18,2025-06-25T10:47:16.570598,sent,2025-06-25 00:29:16,2025-06-25T12:53:37.197577,,2025-06-25T10:29:16.572605,2025-06-25T10:10:18.333514,,,
3,1265,le_greenies,1843140745,"Ooh and a heads up, school
holidays start Sat so my rhythm will be all over the show but will do my best!",2025-06-25T10:05:10.657765,"Hey Elena! Oh no sucks you're not feeling 100% mate, hope you're feeling heaps better soon! Awesome work getting those legs session vids sent through and smashing it even when you're not feeling tops 💪 Love seeing the work!

With RDLs, you wanna feel a stretch in your hamstrings, usually going heavier helps with that stretch aye!

Totally get the school holidays messing with the rhythm too! How are you planning to keep the sessions going over the break?",25,2025-06-25T10:54:18.103201,sent,2025-06-25 00:29:18,2025-06-25T12:53:49.701433,,2025-06-25T10:29:18.104172,2025-06-25T10:05:10.657765,,,
4,1264,le_greenies,1843140745,"Oki dokes. With RDL’s, I barely feel a stretch. Does that mean I should be going heavier?",2025-06-25T10:04:00.553424,"Oh no, sucks you're not feeling 100% mate! Good on ya for still getting through the leg session 💪

With the RDLs, if you're not feeling a stretch you likely need to focus on pushing your hips back more rather than just bending down. It's less about how heavy you go and more about the movement pattern!",25,2025-06-25T10:54:19.644365,sent,2025-06-25 00:29:19,2025-06-25T12:53:55.636438,,2025-06-25T10:29:19.644365,2025-06-25T10:04:00.553424,,,
5,1268,cocos_pt_studio,1597203429,Yo what's doing,2025-06-25T10:37:39.463290,Hey bro! Not too much here just powering through some bits. You getting any training in today?,6,2025-06-25T10:50:26.134187,sent,2025-06-25 00:44:26,2025-06-25T12:53:43.898058,,2025-06-25T10:44:26.142462,2025-06-25T10:37:39.463290,,,
6,1270,kristyleecoop,757956347,No stress sounds good,2025-06-25T12:23:40.813943,Nice one! How are you feeling about training this arvo?,5,2025-06-25T12:56:41.112941,sent,2025-06-25 02:51:41,2025-06-25T12:56:43.978830,,2025-06-25T12:51:41.115752,2025-06-25T12:23:40.813943,,,
7,1269,kristyleecoop,757956347,Yo We on this arvo?,2025-06-25T11:53:01.099569,Hey! We were chatting about Thursday arvo weren't we? Or were you meaning today?,5,2025-06-25T12:56:41.161917,sent,2025-06-25 02:51:41,2025-06-25T12:56:46.848974,,2025-06-25T12:51:41.164293,2025-06-25T11:53:01.099569,,,
8,1271,cocos_pt_studio,1597203429,Yo what's doing,2025-06-25T13:03:52.532953,Hey bro! Just getting stuck into some bits here. How's that AI stuff going? Still digging into that?,5,2025-06-25T13:10:56.388716,sent,2025-06-25 03:05:56,2025-06-25T13:11:04.558879,,2025-06-25T13:05:56.388716,2025-06-25T13:03:52.532953,,,
9,1273,cocos_pt_studio,1597203429,Yo yo what's doing,2025-06-25T13:25:29.517093,Hey bro! Just getting stuck into some work bits here. How's your arvo shaping up?,5,2025-06-25T13:31:28.211035,sent,2025-06-25 03:26:28,2025-06-25T13:59:50.537859,,2025-06-25T13:26:28.211035,2025-06-25T13:25:29.517093,,,
10,1274,cocos_pt_studio,1597203429,It's going good thanks bro,2025-06-25T13:49:13.530646,"Thats good bro! On a different note, saw you're into online coaching yourself how's that been going?",4,2025-06-25T13:55:49.767287,sent,2025-06-25 03:51:49,2025-06-25T13:59:53.286610,,2025-06-25T13:51:49.767743,2025-06-25T13:49:13.530646,,,
